id	h212102	h212311	h212312	h212315	h212316	h212318	h212319	h212321	h212326	h212332	h212329	h212402	gender	age	h212313a
1689	5520	50	20	20	16	10	20	15	10	4	5	150	1	73	0
1690	2760	20	10	30	10	3	20	6	3	8	1	50	1	59	0
1691	5160	35	15	0	18	5	25	25	15	18	5	100	1	54	5
1701	4344	60	10	0	35	2	10	26	10	15	15	30	1	47	80
1742	3600	60	20	30	19	1	5	18	3	15	3	150	1	70	0
1778	9020	55	15	20	24	3	25	26	15	25	8	150	2	53	0
1779	12000	100	20	30	25	20	25	20	15	0	5	200	1	65	0
1819	2160	50	2	0	25	1	3	6	1	5	10	0	2	60	0
1847	3000	60	10	30	25	5	10	6	5	0	5	20	1	64	0
1856	4800	40	5	20	8	2	15	15	5	12	5	80	1	48	5
1999	0	30	0	0	8	0	4	2	1	0	1	0	1	48	0
2000	0	25	3	0	9	3	1	2	0	0	1	0	1	87	0
2037	7400	70	15	20	15	1	10	20	10	15	2	150	1	52	55
2069	13928	60	30	60	15	1	5	10	10	35	5	300	1	56	0
2101	6000	80	15	20	35	15	2	20	3	15	5	100	1	44	52
2113	2400	30	3	0	30	0	5	15	2	0	3	0	2	49	10
2127	1800	20	0	8	32	1	1.5	10	1	6	1	0	1	56	0
2129	6100	70	20	35	20	2	15	25	10	10	5	150	1	59	0
2133	3850	50	10	15	12	10	2	10	30	11	0	60	2	45	30
2161	3440	50	5	40	6	20	5	12	4	1	5	30	1	69	0
2181	2376	15	25	15	10	2	7	12	15	3	5	65	2	50	0
2257	4200	50	20	10	10	5	5	20	5	10	10	0	1	60	40
2303	5636	40	10	35	25	3	20	18	20	13	10	70	1	58	0
2319	0	10	0	0	25	2	1	4	2	0	3	0	1	56	0
2320	4164	10	0	25	8	5	5	8	10	15	10	150	1	60	0
2338	4320	50	30	30	30	10	20	14	10	19	5	60	2	66	0
2365	6620	60	10	0	20	10	10	30	10	9	15	120	1	62	0
2369	4932	50	20	30	25	3	10	10	10	22	5	20	1	43	97
2387	6420	30	10	40	25	5	20	18	10	18	10	40	1	62	0
2439	9380	70	20	50	15	5	10	30	20	30	30	200	1	58	60
2546	2220	50	0	0	10	115	3	5	5	5	8	0	1	70	0
2551	0	10	0	0	11	5	0	8	0	0	4	50	2	79	0
2583	5600	45	5	15	25	0	6	15	8	11	6	45	2	45	51
2620	300	20	0	0	10	10	5	5	5	0	3	0	2	78	0
2637	4320	40	20	40	20	20	5	15	10	9	5	215	2	61	0
2659	1440	30	0	40	20	30	10	8	2	0	0	0	1	75	0
2681	0	20	0	0	7	4	1	2	1	0	1	0	2	84	0
2682	162	30	0	0	11	1	1	2	2	0	2	0	1	82	0
2696	1000	40	5	0	20	10	5	5	5	0	15	0	1	73	0
2698	2060	40	5	5	12	3	2	8	2	3	2	0	1	60	0
2704	3608	60	20	35	30	2	5	8	10	8	0	50	1	62	0
2771	44	20	0	0	12	7	1	3	2	0	1	0	2	87	0
2797	3600	40	5	0	90	4	2	4	0	3	5	60	2	68	0
2803	7800	80	30	80	80	10	100	30	25	38	5	500	1	62	0
2827	7200	70	10	35	20	3	10	22	25	18	12	200	1	58	0
2829	0	40	3	0	23	10	5	6	10	8	6	0	2	66	0
2830	3000	45	5	25	18	4	3	8	5	18	6	50	1	67	0
2838	345	35	6	0	16	2	2	9	2	0	6	0	1	49	30
2841	9070	70	12	25	20	1	12	16	2	8	4	100	1	61	0
2867	13600	70	10	30	20	1	20	15	5	10	4	200	1	52	70
2925	0	5	0	0	5	0	0	5	0	0	0	0	1	86	0
2926	1047	30	0	20	10	5	5	5	0	0	5	0	1	71	0
2928	2740	20	0	0	10	5	5	5	10	5	10	0	1	73	0
2982	7800	70	30	40	25	3	10	15	20	20	1	140	1	58	0
3037	0	30	3	15	17	5	2	6	3	0	3	0	1	71	0
3055	2400	60	2	15	15	250	2	12	10	23	12	50	1	68	0
3174	0	35	10	10	18	10	3	8	3	0	2	70	1	75	0
3213	1170	60	10	0	12	2	10	15	5	5	15	50	1	79	0
3259	8000	60	30	50	20	1	30	30	5	30	5	30	1	57	110
3271	1100	15	10	18	10	13	3	10	8	2	0	23	1	52	0
3274	4100	60	10	30	18	1	3	12	10	15	5	50	1	63	0
3332	0	20	10	0	10	2	4	2	5	0	5	0	1	72	0
3333	5400	60	30	30	30	5	20	15	20	0	10	60	1	61	0
3373	0	45	2	0	7	3	5	5	3	4	4	15	2	73	0
3423	0	10	0	0	24	0	1	2	1	0	0	0	1	72	0
3444	2760	50	10	20	30	1	3	18	3	8	3	50	1	59	0
3454	0	5	5	0	12	10	1	3	2	0	4	0	2	89	0
3461	11250	80	50	30	40	1	30	15	15	0	5	400	1	62	150
3463	5550	50	20	20	30	2	0	10	4	0	0	60	1	55	0
3468	2200	30	5	0	10	0	0	3	3	0	2	0	1	67	0
3472	1680	40	10	0	16	2	0	0	10	0	2	4	1	73	0
3560	0	15	10	30	43	2	5	10	5	8	1	0	1	49	0
3563	2520	30	10	0	20	20	5	8	5	8	10	20	1	61	0
3630	0	40	1	0	10	1	1	3	3	0	5	0	1	54	0
3650	0	25	3	0	8	1	15	2	1	0	2	0	2	80	0
3653	10500	60	5	20	20	5	10	20	5	12	10	250	1	54	13
3658	9120	30	2	20	20	30	2	25	10	20	15	430	1	57	0
3666	120	15	0	0	45	10	1	2	1	2	2	0	2	66	0
3679	2860	20	10	30	10	50	10	7	5	5	1	50	1	73	0
3682	0	10	0	0	10	3	1	1	1	0	2	0	2	89	0
3702	1440	12	0	0	30	1	5	8	2	3	18	0	1	50	0
3715	1150	20	0	0	15	5	0	2	0	0	3	0	2	74	0
3716	3600	30	20	0	10	5	5	20	20	4	2	0	1	51	120
3725	9305	10	20	30	35	10	5	10	20	30	0	50	1	58	0
3771	0	10	5	0	5	1	1	2	1	0	5	0	1	87	0
3797	0	40	10	0	30	10	3	10	1	0	10	0	1	80	0
3809	3650	80	20	30	40	10	5	20	5	10	10	30	1	59	40
3816	8760	80	20	50	20	10	10	25	20	32	10	220	1	54	53
3819	1400	50	5	0	20	1	2	7	5	0	5	0	2	54	0
3865	6800	100	20	50	40	10	10	25	5	15	5	50	1	57	0
3885	0	35	15	34	40	5	30	10	10	50	5	150	2	78	0
3893	0	40	20	22	17	10	10	5	10	0	3	0	1	66	0
3901	9600	100	20	35	20	5	20	20	20	31	5	180	1	61	20
3906	1320	25	6	0	35	2	3	3	3	1	5	10	2	68	0
3923	9054	55	25	45	35	5	35	20	25	33	10	350	1	63	0
3933	930	38	10	0	33	20	8	5	5	0	4	20	1	68	0
3951	0	30	0	0	15	20	1	4	2	4	3	0	1	88	0
3956	5520	50	20	50	20	5	3	20	10	6	0	25	1	54	0
4018	1800	15	5	0	12	40	2	5	2	5	30	140	2	64	0
4023	150	40	0	20	15	10	1	3	3	0	0	0	1	75	0
4056	0	0	0	0	0	25	0	2	0	0	0	0	2	82	0
4062	6243	30	0	0	15	10	3	10	5	25	3	0	1	56	85
4077	700	40	10	35	20	10	10	8	5	0	0	5	1	73	0
4110	324	10	0	5	2	20	1	5	2	0	2	0	1	86	0
4130	0	30	5	20	20	20	5	5	2	0	2	3	1	76	0
4193	0	7	2	0	12	3	2	2	0	0	3	0	2	85	0
4218	0	20	5	0	12	3	3	3	2	0	1	0	2	72	10
4229	0	10	2	0	6	10	2	3	2	0	3	0	2	84	0
4232	6000	55	20	50	25	3	10	15	10	17	0	60	1	51	30
4260	1650	20	0	0	15	10	2	5	3	0	5	15	2	62	0
4284	4000	50	20	40	20	30	10	5	5	0	0	205	1	68	0
4320	2980	70	20	35	15	5	15	15	10	20	0	50	1	55	0
4333	13980	60	5	30	16	10	5	10	5	8	0	60	1	57	0
4363	260	80	15	30	30	15	5	10	10	3	0	20	1	80	0
4382	3000	10	0	30	80	60	1	3	2	12	0	0	1	75	0
4400	2390	70	10	35	20	10	10	10	10	7	6	34	1	64	0
4412	1440	20	0	0	25	5	2	8	3	3	5	0	1	53	0
4418	300	3	0	0	6	11	0	1	1	0	1	0	2	87	0
4428	2300	40	5	0	15	15	5	10	5	6	5	20	2	86	0
4442	7200	40	20	35	15	5	15	20	10	13	15	250	1	57	10
4465	1152	20	2	0	10	7	1	10	5	2	5	8	1	64	0
4488	1800	20	5	20	7	2	2	5	10	5	0	9	2	57	0
4503	6552	100	20	50	25	5	10	25	10	23	10	50	1	50	83
4508	4540	80	10	50	25	10	3	15	10	15	7	0	1	54	140
4526	2839	40	10	60	5	1	0	8	2	5	5	0	1	58	0
4547	0	30	5	20	10	20	5	7	2	0	5	20	1	76	0
4554	9900	50	8	70	30	5	20	12	15	70	0	300	1	66	0
4571	4760	40	20	30	25	5	15	25	20	0	2	80	1	49	35
4623	4000	60	5	0	38	20	2	20	5	4	12	58	1	58	10
4635	720	35	3	30	10	1	1	6	3	0	0	10	2	68	0
4659	13400	100	30	45	30	15	10	45	20	20	1	150	2	68	43
4668	0	10	2	0	15	1	2	1	1	0	5	0	2	82	0
4675	600	30	5	30	15	10	5	12	3	0	5	3	1	78	65
4709	200	30	10	30	15	3	2	10	3	5	1	0	2	84	0
4761	8800	50	20	20	25	5	20	20	20	34	2	400	1	59	0
4766	0	40	10	0	40	10	10	5	5	0	5	100	1	82	0
4774	3600	50	10	15	15	5	10	15	10	8	3	50	1	64	8
4886	15000	90	10	45	14	5	25	23	5	28	3	170	1	50	0
4897	1680	30	20	0	25	10	10	8	10	0	5	200	1	74	0
4910	12000	80	30	30	25	10	50	25	40	18	10	150	1	58	70
4930	7920	60	20	40	25	3	20	22	20	23	20	90	1	55	95
4944	840	15	3	0	10	5	1	3	2	0	3	0	2	69	0
4982	5400	30	20	30	20	5	20	15	20	12	10	100	1	47	0
5032	8700	40	10	40	20	2	10	15	10	30	5	148	1	50	195
5101	7320	50	20	35	25	1	5	23	5	10	5	80	1	53	70
5159	5350	50	30	30	30	20	30	35	30	18	15	180	1	49	20
5173	6000	60	20	30	15	1	30	20	10	20	10	80	1	45	70
5191	8300	50	20	40	23	2	5	12	5	15	0	70	1	48	103
5200	3856	30	10	35	20	2	20	25	0	18	15	30	2	48	55
5221	7782	40	10	5	7	1	5	9	3	8	10	0	1	50	100
5226	0	15	5	0	13	3	0	0	0	0	4	0	1	63	0
5229	6000	30	30	30	30	1	20	22	20	-1	10	70	1	44	130
5303	5400	60	20	35	28	3	10	12	10	8	0	50	1	44	70
5304	5400	60	20	20	23	2	5	15	5	18	3	50	1	47	107
5318	1800	7	5	20	26	2	5	5	3	3	0	10	1	51	0
5328	8640	70	20	30	30	3	30	30	30	13	40	150	1	45	120
5335	10310	30	30	50	20	1	20	20	20	29	5	80	1	44	103
5354	1780	40	5	0	12	1	3	10	5	5	3	10	2	47	41
5398	4040	30	0	45	20	1	5	10	2	15	3	23	1	47	60
5419	4900	50	20	0	65	3	5	20	10	3	10	0	1	44	40
5424	4200	60	20	20	45	1	5	15	3	6	3	60	1	42	32
5429	7500	40	20	70	15	1	10	12	20	20	1	100	1	59	0
5432	6480	100	20	20	30	2	22	10	4	25	10	0	1	49	60
5436	2640	30	30	30	15	0	20	10	5	15	0	100	1	44	0
5458	6600	60	100	45	15	2	10	23	5	12	7	50	1	45	55
5482	3520	50	10	25	15	3	5	10	10	10	6	40	1	57	0
5520	300	20	0	0	5	5	0	2	0	0	8	0	1	71	0
5574	3480	35	10	30	28	2	10	10	13	17	10	50	1	48	30
5611	8160	80	15	40	20	5	10	20	25	15	5	230	1	44	103
5625	8904	50	20	25	20	5	25	20	10	18	10	33	1	47	175
5745	9600	70	20	15	15	4	5	30	4	15	10	100	1	52	12
5768	4800	40	8	20	20	3	15	20	10	20	2	150	1	50	40
5777	0	15	1	0	4	10	2	2	3	0	8	0	2	76	0
5800	5000	50	10	40	20	3	3	15	5	7	1	100	1	45	62
5822	3800	50	5	22	7	10	20	15	10	4	7	50	1	46	103
5844	6640	50	10	0	20	50	10	20	10	17	2	130	1	44	170
5881	4400	60	30	30	20	5	15	15	10	20	5	0	1	55	110
5891	5380	100	15	30	17	10	5	15	10	10	5	70	1	47	115
5937	8300	50	30	25	45	20	35	15	10	30	20	130	1	42	61
5944	5700	30	30	5	15	3	2	4	3	27	5	300	2	38	0
5967	11080	40	10	40	20	3	10	20	10	15	10	400	1	41	110
5997	5800	70	3	30	20	5	10	12	10	20	10	100	1	50	83
6017	5066	50	2	20	15	5	10	12	5	12	10	100	1	41	38
6029	7020	45	0	40	22	3	20	15	5	18	10	270	1	46	12
6061	0	60	10	20	15	5	10	20	10	14	3	60	1	42	99
6075	9600	60	10	30	20	2	20	15	15	23	0	300	1	46	130
6082	0	5	0	0	15	3	0	3	0	0	2	0	2	78	0
6084	5160	140	0	0	15	5	8	20	20	13	5	56	1	45	83
6110	9620	50	80	80	20	20	100	16	20	32	0	400	1	47	0
6252	3880	50	10	20	25	1	10	20	3	15	1	70	1	40	85
6271	7200	100	20	30	30	1	1	10	3	30	10	190	1	46	155
6308	4764	50	20	20	10	2	30	12	10	15	1	82	1	46	60
6358	6600	80	20	60	30	5	10	20	5	15	10	100	1	43	100
6371	5160	70	15	35	17	2	5	15	20	13	8	60	1	38	152
6387	4100	40	10	0	17	2	5	25	15	7	30	25	2	50	50
6395	5660	50	20	60	30	40	10	15	10	18	0	50	1	46	30
6402	4510	80	30	30	20	6	5	9	10	40	6	60	1	42	1
6439	0	20	2	0	3	1	3	4	3	0	4	0	2	55	0
6444	5500	50	20	20	20	5	20	15	10	0	5	100	1	41	95
6492	5640	50	10	30	20	2	10	25	5	10	20	60	1	56	80
6536	4800	70	10	30	20	2	10	15	20	18	6	70	1	44	33
6563	5040	45	20	30	18	1	10	17	5	15	5	90	1	38	52
6565	5400	120	30	20	25	10	20	10	20	-1	10	100	2	43	150
6587	7200	60	20	50	30	10	5	20	3	25	5	100	1	55	80
6622	300	20	15	0	13	5	5	4	3	0	6	0	1	76	0
6638	3300	50	10	10	40	4	5	30	4	10	5	0	1	51	23
6667	5100	30	10	40	20	2	15	13	10	14	5	40	2	41	53
6785	2300	40	10	60	25	2	10	12	10	9	1	60	1	49	65
6826	6180	70	80	40	15	1	3	15	8	17	3	25	1	45	32
6828	5160	30	20	20	31	5	10	17	20	15	10	200	1	39	65
6883	3000	30	10	0	5	1	2	7	5	5	5	100	1	36	0
6953	7530	100	30	45	30	10	20	30	10	35	0	150	1	36	56
7016	1800	20	20	20	10	3	10	5	10	5	0	0	1	36	0
7036	6768	60	10	50	22	2	15	15	20	20	10	10	1	53	32
7050	2200	30	20	0	10	5	3	4	10	5	7	45	2	41	0
7098	4700	10	30	35	10	1	10	10	5	17	1	100	1	38	0
7146	6000	30	0	15	15	4	2	25	5	10	5	20	1	37	15
7148	3500	40	2	0	12	2	2	8	3	9	4	50	1	45	62
